TAG,SPECIES,DBH,HEIGHT,L,MAXR,X,Y,Z,UTM_X,UTM_Y
4286,TABR,18.1,9.5,6.2,3.3,165.2,156.8,375.0,581275.2,5074477.8
4287,PSME,101.5,49.7,22.0,5.1,164.6,152.8,380.2,581274.6,5074473.8
4288,TSHE,15.2,15.4,11.4,3.2,160.1,150.2,380.3,581270.1,5074471.2
4289,TSHE,64.8,42.3,33.9,5.7,159.3,150.1,380.4,581269.3,5074471.1
4290,TABR,7.6,4.2,1.8,2.5,156.4,150.9,375.1,581266.4,5074471.9
4291,TSHE,31.5,26.9,21.7,3.8,154.4,155.0,380.1,581264.4,5074476.0
4292,PSME,109.0,51.1,23.7,5.2,158.7,158.0,379.9,581268.7,5074479.0
4293,TABR,8.3,5.6,3.2,2.5,161.2,152.8,375.0,581271.2,5074473.8
4294,TABR,13.0,5.4,2.6,2.9,160.6,161.4,374.5,581270.6,5074482.4
4295,TSHE,56.6,39.3,31.8,5.2,156.6,159.3,379.9,581266.6,5074480.3
4296,TABR,16.4,7.3,4.2,3.2,165.2,168.3,374.2,581275.2,5074489.3
4297,PSME,65.8,41.6,12.9,4.6,164.8,169.4,374.0,581274.8,5074490.4
4298,TABR,12.9,8.7,5.9,2.9,163.6,168.7,374.0,581273.6,5074489.7
4299,TABR,18.5,7.7,4.4,3.3,163.2,168.7,374.0,581273.2,5074489.7
4300,TABR,12.6,7.1,4.3,2.8,166.4,172.0,373.9,581276.4,5074493.0
4301,TABR,12.2,6.1,3.3,2.8,166.0,173.1,373.7,581276.0,5074494.1
4302,PSME,94.5,48.2,20.3,5.0,159.3,172.4,379.2,581269.3,5074493.4
4303,TABR,16.5,8.4,5.3,3.2,160.1,173.9,373.9,581270.1,5074494.9
4304,PSME,91.2,47.5,19.5,4.9,152.9,170.0,379.2,581262.9,5074491.0
4306,TABR,17.9,7.3,4.1,3.3,159.5,167.0,374.2,581269.5,5074488.0
4307,TABR,12.4,11.0,8.2,2.8,159.5,166.8,374.2,581269.5,5074487.8
4308,PSME,100.2,49.4,21.7,5.1,161.1,163.2,379.6,581271.1,5074484.2
4309,TABR,17.6,7.3,4.1,3.3,153.8,160.1,374.4,581263.8,5074481.1
4310,TSHE,90.6,49.4,37.1,7.7,145.7,155.2,380.1,581255.7,5074476.2
4311,TSHE,49.8,36.5,29.7,4.8,148.7,161.6,379.5,581258.7,5074482.6
4313,TSHE,40.9,32.2,26.2,4.3,146.2,167.6,379.3,581256.2,5074488.6
4314,TSHE,69.7,43.9,34.8,6.0,143.1,164.9,379.4,581253.1,5074485.9
4315,TSHE,15.0,15.3,11.2,3.2,145.6,151.5,380.3,581255.6,5074472.5
4316,TSHE,15.9,16.0,11.9,3.2,141.9,165.7,379.3,581251.9,5074486.7
4318,TABR,14.1,5.1,2.2,3.0,132.0,169.0,374.2,581242.0,5074490.0
4319,TABR,13.3,8.3,5.4,2.9,129.3,172.2,374.0,581239.3,5074493.2
4320,TABR,11.6,6.0,3.3,2.8,125.0,169.6,374.1,581235.0,5074490.6
4321,PSME,106.8,50.7,23.2,5.2,123.4,170.9,379.4,581233.4,5074491.9
4324,TABR,23.9,9.5,5.8,3.8,125.5,161.2,374.5,581235.5,5074482.2
4325,TSHE,11.4,12.3,8.4,3.0,131.3,160.6,379.8,581241.3,5074481.6
