tree_x,tree_y,species,dbh
581415.003,5074586.603,TABR,17.7
581420.509,5074584.35,TSHE,6.8
581433.007,5074573.734,TSHE,14.9
581415.434,5074592.785,PSME,84.4
581420.049,5074589.028,THPL,85.2
581421.168,5074589.401,THPL,8.9
581419.972,5074594.011,NA'(,45.0
581428.542,5074584.633,TSHE,12.0
581429.927,5074583.481,TSHE,5.8
581431.191,5074582.513,TSHE,10.2
581429.165,5074588.377,TSHE,5.5
581429.432,5074587.871,TSHE,7.7
581430.075,5074593.692,THPL,71.1
581433.099,5074581.598,THPL,82.2
581434.514,5074577.345,TSHE,12.8
581438.737,5074573.447,PSME,77.7
581437.853,5074572.964,TSHE,30.1
581442.706,5074575.309,TABR,19.8
581443.174,5074576.481,PSME,144.2
581437.244,5074577.935,TABR,23.8
581454.927,5074573.705,PSME,137.8
581441.83,5074581.755,TABR,32.0
581435.679,5074588.865,TSHE,59.1
581435.293,5074590.196,THPL,92.9
581438.859,5074587.952,THPL,23.2
581444.83,5074583.309,PSME,94.5
581435.517,5074591.36,TSHE,6.5
581435.399,5074592.966,THPL,32.5
581444.177,5074587.857,TABR,12.3
581450.201,5074583.039,PSME,148.2
581448.265,5074586.341,THPL,38.8
581458.169,5074575.491,THPL,10.3
581457.528,5074578.227,TSHE,82.8
581453.76,5074591.4,TSHE,6.0
581456.85,5074584.115,TSHE,6.2
581455.675,5074595.496,TABR,15.3
581459.498,5074581.863,THPL,26.5
581470.805,5074572.246,TABR,8.6
581460.641,5074571.474,TSHE,30.6
581461.217,5074574.032,PSME,123.1
581463.455,5074576.459,TSHE,59.2
581460.526,5074577.972,THPL,18.2
581473.359,5074575.025,THPL,128.0
581473.121,5074576.181,PSME,81.5
581465.102,5074579.578,TSHE,32.3
581471.593,5074578.733,TSHE,9.1
581470.944,5074579.565,PSME,70.1
581461.91,5074585.984,TABR,19.9
581471.336,5074580.374,TSHE,80.1
581475.495,5074578.344,PSME,40.5
581477.074,5074577.609,THPL,44.0
581478.061,5074577.643,THPL,146.5
581474.337,5074582.751,TSHE,34.6
581467.198,5074595.087,TSHE,54.1
581469.711,5074594.394,TSHE,22.2
581483.384,5074573.658,TABR,10.4
581473.565,5074592.56,TABR,14.2
581477.657,5074586.666,THPL,182.5
581477.217,5074587.619,THPL,23.3
581474.462,5074593.602,THPL,127.9
581476.749,5074593.609,PSME,154.4
581480.933,5074584.006,TABR,13.4
581481.262,5074589.201,PSME,84.1
581481.087,5074595.587,PSME,106.4
581483.326,5074587.767,THPL,70.6
581482.187,5074546.47,TSHE,39.7
581463.181,5074547.863,PSME,125.6
581461.307,5074550.475,THPL,75.0
581461.169,5074551.174,TSHE,13.4
581461.257,5074551.621,TSHE,5.2
581476.913,5074548.156,PSME,128.0
581477.741,5074548.618,TSHE,44.5
581476.687,5074549.054,TSHE,23.5
581467.391,5074552.842,TABR,5.1
581465.735,5074555.611,THPL,113.5
581466.112,5074557.688,TABR,6.2
581473.837,5074552.37,PSME,84.6
581470.02,5074558.271,TSHE,23.4
581475.536,5074554.943,ABAM,31.1
581467.791,5074564.361,TABR,12.1
